reviews[].excerpt,reviews[].date,reviews[].user.name,reviews[].user.rating,review[].user.useful,reviews[].user.funny,reviews[].user.cool,reviews[].user.status
"Prior to a recent spur of visits, it had been a while since I'd been to O'Flaherty's.

Years, even, since the last time during which I swore off the place, but that's a story left for a 1-star* draft I probably won't ever write now.

The closest facsimile San Jose has to an Irish Pub - at least in decor - O'Flaherty's remains one of those fixtures of downtown's bar scene, so no amount of exposition from me will likely shed any insights on the place that you couldn't read in another of their 250+ reviews or experienced on your own.

On the plus side, they have recently hopped aboard the craft beer trend in the South Bay, amassing 38 or so taps of decent brew. That's a lot of taps and a wide variety for sure, making them a notable outlet for the good stuff, but service here seems dispassionate about it, peddling beer as a commodity rather than promoting the craft of it. Still, it's a welcome addition to the blooming craft beer scene.

It's still one of the best spots to fan-out during Sharks season, otherwise it wouldn't be the first place I go to most nights, but someone I've taken a fancy too likes the place, so you'll find me checking in there on occasion.

Yes, I go there because of a girl. Stop judging me.",7/24/2013,Mikey U.,3,3,3,3,512
"This is the place to go if you like good beer. I always want to try something new or different each time because their selection is amazing. Wednesday night trivia is a blast but come early to nab a table/seat! It can get crowded but I really like the intimate feel of this smaller pub. I will say it: I prefer it over Monday night trivia at the Market for that reason.

My only thing is consistency. I don't come by here too often but a couple of times I've gone in and either they'd be ""out"" of a food item fairly early into the night (I would consider 8PM fairly early?) or another time my friends and I sat down to have dinner and a few beers but they weren't serving food. No big deal, they told us we could have our beers and bring in outside food (super cool of them) but maybe let us know or put a sign up? I'm not as irked when my first choice beer is out, though, because I know I could pick from so many others!",7/10/2013,Hazie W.,4,0,0,0,73
I enjoy this place every time I've come here. It's a great spot with inside and outside seatings. Their drinks are reasonably price and they make a mean vodka cranberry. The customer service has been great each visit. It's located on San Pedro Square next to Peggy Sue's.,6/11/2013,Lisa N.,4,0,0,0,473
"Little loud, lots of drunk guys sort of running into people and grabbing the waitresses, just not really my scene anymore.  For a quick drink not bad just don't plan on hanging out here very often on a saturday night.",6/5/2013,Kristen B.,2,0,0,0,35
Tons of great craft beer and a great staff!,6/4/2013,Nikki S.,5,0,0,0,3
"It's a bar...in San Jose. Usually where my friends go if everywhere else is packed. So lots of bar overflow patrons I presume, Also a bar that my friends and I usually end up.

The good:
Great place to catch a hockey game.

The Bad:
I guess its been recently converted to a gastropub now. I just wish they would print their beer menu, its sometimes difficult to read the chalkboard. I guess this is because the beer on draft is constantly rotated, merely a suggestion.",6/3/2013,mark m.,3,1,0,0,54
"Not a bad place to hang out and have a beer or two.

$4.50 for a pint of Lagunitas IPA not bad (Happy Hour prices I believe) not bad.

Several screens for the Sharks game that night (including a big projection screen that comes down from the ceiling)

My only complaint would be that this place isn't very big and can get packed quickly. So if you're not into big crowds in small spaces, this might not be the place for you on a busy night.",5/30/2013,Craig F.,4,1,1,1,151
Just ducked in for a beer and after trying to order an alagash white (which they didn't have for some reason... it was on their specials menu) I just ordered a Guinness and chilled. There was karaoke going on and the crowd was a bit older like 30+ and the song list was huge. It was alright but it didn't make much of an impression on me.,5/29/2013,Manda H.,3,0,0,0,77
"Great Pub!

As soon as you walk in you get hit with the Irish feel. Especially if there's soccer on TV then you really feel like you're in the UK.

They are one of the few places that has Murphy's Stout on tap. I like the friendly bartenders and I like how some of the bartenders will go around and ask you if you want another round or wish to order something else. It makes it so much easier then getting up and standing back in line.

That leads me to the only bad thing about this place, on weekend nights it gets busy and sometimes crowded for a small place. But once you get over that, you'll like this place. A nice spot to grab some brews with your friends and chill at  a table.

Definitely recommend this place.",5/27/2013,Aaron G.,4,0,0,0,2
"This used to be one of my favorite places to go, but no more.

I brought people with me to O'Flaherty's for trivia for over a year, and once in a while on Saturdays to play board games. The waitresses have always been friendly, and my drinks good. Garlic fries are delicious. I always recommended this place to friends for an easy-going night.

My low rating is for the blatant disregard of smoking laws and their ""so what"" attitude when asked very politely to fix it.

O'Flaherty's front walls sort of roll up so there's no separation between the inside and outside. It's a really neat feature, unless there's a lot of smokers on the patio, which on trivia night, there is. Now, I'm fine with people wanting to smoke, and I even overlook that they're right up against the front of the bar, right next to the doors and the usually open doors or rolling wall. I don't expect people who are smoking to go stand in the middle of the street (or however far 20ft is). But, you'd think that the staff would realize that most people don't want to smell the cigarette smoke and keep the rolling walls and doors (when people aren't walking through them of course) closed.

When it first started to become a problem, I talked to a few of the waitresses and I was told the higher-ups wanted to keep the doors and walls open. OK, I sucked it up for another few months until it was really bad one night. I got up to close the door that I wasn't even sitting near, but once I had closed it, one of the bartenders opened the door up again. The thing is, it doesn't seem to be about getting air circulation, since there are ceiling fans that are never on.

I wrote to O'Flaherty's via their website, and got no response. I lodged a complaint with the county, but was told others had complained and the city of San Jose's Code Enforcement wasn't doing anything. The guy from the county said O'Flaherty's probably wouldn't do anything until they get ""sued, fined or closed"" (his words, not mine). I called San Jose's code enforcement, and got no response from them either. I'm really sort of disappointed that O'Flaherty's would ignore requests to shut doors to stem cigarette smoke. I didn't curse, I didn't scream. I wrote letter just like this one. I talked to numerous people about the problem before I made a formal complaint. I didn't have to go that far, but I did because I felt I wasn't being taken seriously by the staff. Apparently I wasn't the only one pushed to that extreme by this bar.",5/17/2013,Jen L.,1,1,0,0,14
Awesome selection of craft beer.  There is something new for me to try every time   I can't wait to go back.,5/11/2013,Jake M.,5,0,0,0,6
"I was in town recently for a concert and me and some friends decided to meet here before hand. The place was PACKED with people. The whole staff was friendly, especially Marcus. I almost never remember names, but his friendly demeanor and humor made him especially memorable. I wish I lived near this bar, because I would go regularly.",5/7/2013,Jennifer R.,5,0,0,0,4
"Definitely not a fan.  I came here before a Sharks game and the service and selection was terrible.  They run out of beers quickly and the ones left over aren't usually worth paying for... If you are in the area or looking to find somewhere fun to visit before a game, I recommend spending your money elsewhere.",4/29/2013,Alyx F.,2,0,0,0,347
Friendly service and patrons... and most importantly a proper Guinness pour. They have a very nice selection brews on tap and next time I'll venture beyond Guinness and try them. O'Flaherty's is a cool pub though I can imagine it gets crazy before Pavilion events.,4/4/2013,Paul R.,4,0,0,0,169
"$5 Car Bombs on Sundays!!!!

I love this spot for just chilling on a lazy Sunday!  The bartenders can make the Guinness into a 4 leaf clover, pretty awesome!  I like coming here around 3PM on a Sunday when there's no crowds so I can't speak for the night crowds.",3/18/2013,Katie N.,5,0,0,1,201
"Sooo many beer on tap. If you're interested in beer tasting or just trying new beer, come check this place out. They probably don't have as many as Yard House but it's definitely more than you can drink a night. There's a beer for everyone whether you like stouts, pilsners, belgians, IPAs, fruity beers, amber, etc... The waitresses and bartenders are always nice there so far I've been there the past few times. I think they also serve food during the day.

They have live music sometimes and DJs that spins on weekends. Everyday (or weekday) there's an event. I believe they have karaoke and trivia nights. I haven't been on there on those nights so I can't tell you much about that.

Oh! And if you're a whiskey fan, they have a bunch of different whiskey: Scottish, Irish, aged...",3/18/2013,Vivian D.,4,0,0,0,92
"Great pub in san pedro square. I like to come here after original gravity public house closes as it closes a lil early for my liking and its got almost as great a selection o beers to keep me comin back. The weekends are pretty crowded and since its an Irish pub its not really my scene, but if you want a chill place to relax n kick back some brews you should stop by on the weekdays where the service will be more spot on and the environment will be more relaxed.",3/18/2013,Frank L.,4,1,1,1,144
"It's not their fault that they are so popular, but this place gets packed!  I really love the great variety of beer they have on tap.  Be prepared to fight to get your beer though!  It gets so crowded!",3/14/2013,Jennifer S.,3,0,0,0,580
"Lazy bartender.

Lying ass bartender.

$15 for a personal sized pizza.

An ""ok"" tap list of craft beer.

Great atmosphere.

We couldn't stop playing with the tables.",2/18/2013,Bizzy B.,2,0,2,0,217
"This place seems like it could be really cool, but today it didn't deliver.

We were in town for an appointment and I looked up Irish Pub's on Yelp in anticipation of our upcoming vacation to Ireland.  This place seemed to fit the bill nicely.

We went on a Wed. afternoon for a pint or two and some lunch.  When we walked in, there were a few people sitting at the bar, but no bartender, no server or hostess, and no sign indicating to seat ourselves or order at the bar.  After several minutes, the bartender finally came out and took our order.  I let him know that we wanted to eat, so he gave us the menu card.   After taking our drink order, we watched as the bartender went behind the bar and changed his shirt.  Not cool...

The menu had very few choices, it was literally a card.  I had the cheeseburger and she had a Caesar salad.  Food came out in decent time, but was marginal quality at best.  My cheeseburger was was too greasy, and her salad looked like it came straight out of a bag from the Safeway produce aisle.  

On the bright side, and what got this place two stars instead of 0 or 1, they had a great beer selection.  I had a Murphy's and an IPA (cant remember the name, but really good), and she had a patron margarita.  

After we left, we decided that we're not going to give this place another chance the next time we're in town.  The prices were a little high for what we got ($50.00 for two beers a maragrita, salad and a burger), the service was bad (we felt like we were imposing on the bartender/server when we made our order) and the food wasn't great.  I hate to give bad reviews, and I'm glad that some people seem to like it...I really wanted to like the place as the atmosphere and decor seemed really cool, but I think we'll try something else next time",2/13/2013,Mike H.,2,0,0,0,11
"This place is one of the cool little pubs downtown San Jose. I think my favorite part of O'Flaherty's is that they serve quite the bit of beers and it reminds me a lot of a pub in England or Ireland. They have some cool specialty beers and ciders which you can only get here.

O'Flaherty's gets so lively after the Sharks play a game. If you have never experienced this place after a sharks game, especially a win, than make sure to go there after one of the games even if you don't go. It is way cool to see all the fans in their gear and when they have just won the is such a buzz in the room that you feel like you are at a party.",1/29/2013,Aron H.,5,1,0,2,294
"Come here with a good group of friends for a drink or a beer and you'll have fun. They have dice games that are always fun to play and their drinks are made well. Not every bar I go into knows how to make an Old Fashioned, but they did and they made it well. This isn't really the place to meet people though because it seems like everyone here is in their own little world. They also have live music often, especially during the summer months.",/27/2013 ,Tim W.,4,0,0,0,29
"There are some basic things I require from a good Irish pub (besides Guinness on tap, or it doesn't even qualify). O'Flaherty's met them all:

-- A friendly vibe...Check
-- A good beer list...Double Check! (O'Flaherty's beer list was over-the-top and amazing)
-- A cute waitress with an Irish accent...Check!
-- This waitress had great timing, and asked us if we'd like another one before our glasses were fully drained - check!

The food wasn't great, but that's not really a requirement of a good Irish pub, is it? - having any food at all is just extra credit; My buddy had a fish and chips, and I had a try-tip sandwich. Both were fine and met our needs.

And with cheap parking across the street, O'Flaherty's has become my new pre-HP Pavilion spot!",1/25/2013,Dan B.,4,10,6,8,863
"Real chill. I like the Irish pub look, feel and brews.

I came here on St. Patrick's Day and although they had a $10 cover charge, I had a blast. I don't know if the back patio is normally open, but on this specific day it was (which made sense). They had a mini bar set up and a fast delivery bartender. The heat lamps, tables and porter pottys were super necessary and gave me and my friends a comfortable place to chill. There was a TON of people celebrating the Irish holiday so they also opened up the second floor and the bar upstairs. The 2nd floor you ask? Yes, I was equally surprised. There's a stage and full bar up there! I don't know if it's part of O'Flarhery's or another venue, but it's super dope. There's a dance floor by the stage and the stage is low so it feels intimate. On St. Patty's, they hired a U2 cover band! I had a jolly good time that night and because of that I've dropped in every time I'm at San Pedro Square.

Pint of Guiness for me, please.",1/3/2013,Steph V.,5,3,0,1,335
Excellent Irish Pub with very friendly staff and a host of Craft Beers and a Beer club. They have the Trivia on Wed's and other events throughout the week. Highly recommended.,1/2/2013,Gautam A.,4,1,0,1,10
"Normally, I'd call O'Flaherty's just another Irish pub in the Bay Area (why are there so many, anyhow?) but their recent addition of craft brews on tap have earned them a place in my bar rotation.  Last time a buddy and I stopped in, they had Dogfish Head 120 Minute IPA. If you know beer, you know that one is a recipe for both good times and disaster.

Best of all, parking here is not an issue as there is a huge parking structure across the street.

My only beef? Their service can be lackluster at times for no reason, so they get three stars.",11/28/2012,Edgar N.,3,2,1,0,213
"I've been going here for Trivia night on Wednesdays and I like this place. It's A-OK in my book!

+ Craft Beers
+ Decent Beer Selection
+ Good atmosphere

- Wait staff is ok
- Layout of the place is ok
- Lacks a certain something

This place is OK, I'd come here but it would not be my first choice. I think it lacks a distinct feel. Not a neighborhood bar like Trials, not a sports bar like the Brit, not a craft brew pub like Original Gravity, not a dive bar like Caravan... it's unique in that it's not unique.",11/27/2012,Jack T.,3,1,0,0,151
Love the place and love the bar. The bartenders are nice and always there when you need a drink. The food is also pretty good. Only downside is a bit pricey when happy hour isn't going on. Overall one of my favorite places in San Jose.,10/22/2012,Ryan V.,4,0,0,0,7
"This is my new favorite neighborhood bar. The crowd is quite eclectic and isn't filled with the typical Downtown San Jose crowd/scene. Often times, they have random bands that play. Some good, some not so good. I thought Analyze Generator was an awesome band, unbeknownst to me was my coworker's son's band. Small world!

Also, they have awesome deals on certain days, which is great on the pocket book.

They have an awesome waitress who always knows what we like to drink. Her uncanny skills to recollect certain drink orders from certain patrons is quite amazing. She is also super friendly! She is probably the best bartender/waitress at any bar I have ever been to and she has a nice rack that I tend to stare at. No lesbo.

I recently grew a penchant for Irish Car Bombs. Mind you I am not much of a drinker because I do not like the taste of alcohol. But, HOT DAMN, their Irish Car Bombs taste like chocolate and two of these get me quite tipsy. Even though I find myself quite humorous when sober, I have been told I am awesomely funny while drunk. So ... yeah, yay for chocolate tasting alcohol to make me the life of the party! ",10/22/2012,Angel C.,5,1,0,0,93
"The vibe I felt here was amazing...it was a warm Sunday afternoon, reggae was pouring out on the patio, drinks were cold & life doesn't get better than that.

The bartenders are very kind & helpful in terms of info on the beer choices & the crowd was minimal & friendly.

Listed in: NorCal w/ LOVE, BOMB Diggity, Loca-L, Bar baby!!, 4 the love of boys, brew &…

Was this review …?",10/16/2012,Vanessa X.,4,1,0,0,197
"Cleaner this time around and bathrooms tend to stay clean as well even though it's shared by a couple business' . Black and Tan with Rasputin is still heavenly.

Also a great place to go if you want watch some sports and drink a beer [or whiskey]",9/23/2012,Marshal R.,5,0,0,0,60
"How have I not written a review about this place? I've been a fan of this place since--
ahem my early twenties. Just a great small pub with good drinks...never had any food here but every bartender I have ever come across has been friendly.",9/9/2012,Lynn N.,5,0,0,0,708
"Came here around 2pm on a Saturday for a Magners and the drink was good, but the people working sucked. The bartender was rude and was angry with us for not tipping even though we were still drinking. The other lady working there was drinking a beer and sitting at the bar and when someone came in for an interview the lady working offered her an alcoholic beverage. The Magners was good, but the environment was not fun or relaxing. I wouldn't go back.",9/1/2012,Linda C.,1,2,1,0,18
"Came here on a whim today on my way to get pizza, the bartender was super cool, gave me a sample of some good local beer(I didn't ask it's name) and gave us good suggestion on a place to get pizza!!! Price isn't terribly expensive for one beer and a pepsi(for my gf) about 6.50 I believe. The place looks really nice and though night time drinking won't be on my to do list here(or anywhere. I'm a day time sit back and enjoy drinker) I'll definitely be here during the day more often!!! That beer was damn tasty!",8/30/2012,Adrian A.,4,0,0,0,36
"Let me start off by saying, this should be a a 2 or 3 star review. But, it isn't, only because I go on Sundays & Mondays (karaoke night) and the KJ, Ryan, is awesome. There are also a bunch of really cool friendly people who come to sing and get trashed, so, that's all lovely and good.

Getting trashed... that brings me to my next point. I don't understand how anyone gets tipsy, let alone trashed. They must be sneaking in flasks. The mixed drinks are WEAK, in my experience. My sis claims that they were strong when she came once, I however, am never going to find out if this IS in fact ever true, because I will never stop regretting the amount of money I spent last night just trying to achieve and maintain a good buzz.

However, the beer selection is good, and I'm definitely sticking with that from now on.

The bartenders are nice, I really do like them despite the fact I'm more comfortable with them pouring me a beer than mixing me up an old fashioned... And one of them can sing just like Amy Lee :)

My last little complaint is in regards to the high percentage of creepers who seem to hang out here. Maybe there should be a bouncer stationed at the door with someone there to give a brief psychological evaluation before entry is permitted, because, for whatever reason this place seems to attract men who are a little off.

I've had several weird experiences with creepy dudes, but last night I was mildy entertained when some stranger first tried to rub my shoulders and then stroke my hair, despite my protests - entertained, only because it gave me the opportunity to tell him off, and, better yet, watch my big (ex-military) sister cuss him out for me.",8/20/2012,Jenice P.,4,1,1,0,48
Good luck getting a drink on a busy night.  My cup runneth dry and stayed that way.  I actually saw the bartender put a customer in check because the customer was trying to get his attention.  Kinda rude.,8/13/2012,Sheryl M.,2,1,0,0,217
"The atmosphere here seemed really laid-back and welcoming. Seating was plentiful on a Tuesday evening, drinks came quickly and the staff was friendly. Also, clean bathrooms!",8/13/2012,Rachel S.,4,0,0,0,383
"i said bring back the scotch eggs, damnit.",8/10/2012,Daisy H.,2,0,0,1,24
"Came here for a friend's going away party and it was very casual, I liked that there was a lot of space and the back hallway connects with Peggy sue's (in case you needs some food in you). There was plenty of seating as well as standing space, there was never really a wait for drinks, bartenders are fast and friendly. Use the parking garage right across the street and get validations :-)",8/1/2012,Mariko B.,4,1,0,1,514
Awesome place to chill and have a good conversation over a beer!  The music is awesome and so is the crowd.  Bar tenders are friendly and so is the bouncer at the door.  Great whiskey selection.  Everything perfect for a Irish pub.  I'll be back...,7/19/2012,Hari A.,5,0,0,0,8
"Went here Saturday night to see a friend's band play. I loved the vibe of this bar! It's a super open layout, so if you're outside or in it all feels connected. On the night I was there, they were trying to make room for a bunch of kegs so they were selling bottled beer for $1.50. You heard me right! That was a huge hit.

Bartenders were attentive, but I can't speak for their drinks because I only got a bottle that night. I'll go back when I'm trying to get cray and see how it is. But my friend was happy with her drink!

My friend's band was great (Analyzer Generator, check them out online if you're curious!), and so was the band before them. Good live music is always a plus in my book and this bar often has a band playing. Great location, on San Pedro's in downtown SJ. Right next to Peggy Sue's and Old Spaghetti Factory! I definitely want to come back here and catch the good vibes again. :)",7/18/2012,Nora H.,5,0,0,0,128
"The live music here is simply marvelous.  Purely awesome.  Oh.  And the beer is delicious too.  ;)

",7/17/2012,Emily Y.,5,0,0,0,256
"Super fun trivia night, and I was surprised to find that the questions were actually answerable! Well...not that I could answer them, but I KNEW that I COULD have known the answer, unlike some trivia questions I've gotten before that I would never know ever ever ever. I think drink prices are kind of expensive, a Tokyo Tea was about on par with what you'd pay in a club, ~$12.",7/8/2012,Melody L.,3,1,1,1,518
"Drinks on a beautiful day in San Jose.  Small, local and decent bar to grab a drink and chill on a Sunday",6/28/2012,Becky U.,3,3,2,3,355
This is the place if you are looking for friendly people and who know how to properly pull a Guinness,5/25/2012,Craig M.,5,0,0,0,3
Jameson on tap...nuff said.,5/25/2012,Jo V.,5,1,1,1,114
"Blah blah blah.

You've been in a million Irish-themed pubs.  Most of them were the same.

So here we go: O'Flaherty's is a genuinely pleasant, reasonably authentic execution of an oft-aped genre of drinking establishment.  The bartender is friendly and competent.  The patrons are personable and pleasant.  The ambiance is suitable and appropriate.  They have Jameson's Whiskey on tap. (No, that is not a typo.  It is not on line yet, but they are set to have Jameson's available on a beer-style tap.)  The patrons are friendly, and depending on their disposition and state of inebriation, intelligent.  

A solid drinking establishment.

Blah blah blah not that original.  Who fucking cares?  Fun.  Go there.",5/14/2012,Roger S.,4,0,0,0,73
"Oooh man...I'm a regular here now. Does that make me an alcoholic!?

NO! that just means that this is an awesome pub.

I LOVE the music that they play here. They play a lot of Chili Peppers, Radiohead, and Audioslave. They do not completely blast the music here either so it's easy to hold a conversation. Its also a great environment to watch games. They have plenty of big TV's here and a good deal of tables and chairs.

The pub has a patio where you can chill outside and drink. You never have to worry about it being too stuffy or the air circulation being bad. Even on the MOST crowded nights (St. Patty's Day), the pub does not get too stuffy because there is no wall that separates the patio from the inside.

I've been to O'Flaherty's during the day when it is COMPLETELY empty, and during St. Patty's Day when it is COMPLETELY filled, and I must say, I've enjoyed both experiences a lot! The only thing holding this place back from 5 stars are the happy hour prices. It's not as cheap as I thought it would be.",5/13/2012,Jeffrey W.,4,0,1,1,58
"My boyfriend and i came here last night for a quick bite before the Coldplay concert at HP. Its a cool place with a friendly ambience. The staff is really nice and the beers re decently priced. I live about 40 min away from San Jose, but i wold definitely visit this place next time i watch a concert at HP.",4/29/2012,Karla M.,4,1,1,2,31
"Irish pub with a great vibe. The patrons are pretty down to earth and the place itself is not too fancy, yet not too divey.  Karaoke on Monday nights.",4/27/2012,Elise G.,4,1,0,1,636
"DON'T GO ON ST. PATS!

Great business sense, really, but they certainly don't have any specials going on during St. Patrick's day, and I suspect they jack up the prices a bit. They also ran a 15 dollar minimum charge on credit cards (which they neglected to mention when I called to ask if they took credit), and were selling beers for 7 bucks a pop, meaning you had to keep your tab open for at least three beers. It was also more crowded than a Columbian brothel.

I'd like to go back again on a non-holiday, just to see how everything is without the insanity of a good 120 patrons more than the fire marshal suggests. Ambiance is great, and I suspect the service might be alright when they don't have to cater to 250 drunken folk at one time.",4/19/2012,Sean D.,2,1,0,1,3
"The only thing saving this from being one-star is the great variety of whiskeys they have. I had plenty of time to study all of them, because it took me a whopping thirty minutes before any of the bartenders took my order. I came in early for trivia night, before it was really crowded. I was standing in plain sight, and even when I moved up flush against the bar and pointedly tried to make eye contact or flag someone over, I was ignored. Only when my friends came in did someone finally come over.

He took our orders, and then promptly forgot them. He gave everyone else their drinks, and then got sidetracked and abandoned me. The other bartender on duty said ""sorry, it'll be a couple more minutes because a lot of people just came in"". Okay, so they JUST came in. They weren't waiting thirty minutes already. And they came in AFTER I had already ordered. They were clearly friends of the bartenders, as they hung around the laptop (for trivia?) and slightly behind the bar. They got all of their drinks before mine was finally finished. 45 minutes total.

When they finally did give me my Rob Roy, it and the Irish Apple I got for a friend were both half the usual size, for slightly more than the usual price.

The trivia is not worth all the trouble. It's not as fun and multimedia as Dive Bar's, and the hostess goes on and on about inconsequential things. I know that every place has that ""quiz master is always right!"" rule, but usually when they're blatantly wrong, they admit it and concede the point. When the quiz master here mixed up the Pantheon and the Parthenon, despite a very loud outcry from an overwhelming majority, she rudely bitched ""if you don't like it, you can leave"". So we did. And I probably won't ever willingly come back.",4/5/2012,Cat N.,2,5,0,0,381
"Came here last St. Patrick's to have a taste of Irish drink...was't disappointed. Great beer!!! Great place,,,",3/25/2012,Adele V.,3,0,0,0,89
"started going way more often, and I love it there, mostly went on Karaoke nights, and it was the best thing ever. I'm totally going on either sunday or monday next week. *love* it's one of the only bars I know where I still feel super comfortable when it's super busy, I've only been there once or twice when it wasn't completely chill, and I went, on average, once a week for 8 or 9 months.",3/22/2012,Sarah G.,5,0,0,0,45
"We came here on St. Patrick's Day, so naturally the place was packed. Seems like a great pub, though. We had fun, but we'll have to come back again when there isn't wall-to-wall people. Can't wait to check it out again!",3/18/2012,Sarah L.,4,0,0,0,86
