excerpt,post_date,user_name,user_rating,rating_useful,rating_funny,rating_cool,user_status,reviews[].user.id
$27.00 dollars for two watered down Redbull and Grey Goose! What a rip,4/8/2013,Don T.,1,2,2,2,12,f3wT6eNBpMAqXI_wo3EkKQ
" No cover
- Happy Hour - $2 wells, $3 fireball shots (Tuesdays)
- Sweet potato tots & regular tots

I've been here a few times with my boyfriend and his friends for happy hour. We usually go on Fridays and came once on a Tuesday before Tiesto. Pretty good service from my experience. The $2 wells aren't that strong sometimes but you can't expect too much for $2, tbh. After a few of these, I'm usually on a good level to enjoy myself. We were here a few Fridays ago and the DJ was on point with the music. I'm talking some top 40 + late 90s + early 00s jams! Not hard to find a spot to touch down with your friends and hang out for the night. Once you get tired of SJBJ, you can easily walk to any of the neighboring bars or lounges.

Good spot to start your night or pre-game before an event.",3/12/2013,Tammy N.,4,2,0,2,151,hbYyhvk_7w8C94rPxV362g
Nice place to go to and grab a drink and a bite before a  crazy night.,2/26/2013,Niki P.,3,0,0,0,92,FU_HamTdY6bMjVk75kP-mA
"I love this bar! My favorite place in downtown SJ if I'm looking for a fun place with good music and dancing. Super friendly staff, good drinks for the price, usually good DJs, and an overall good atmosphere. There's rarely a cover, if there is one it's usually after 11 and if it's really crowded.

This bar is always a good time. 5 stars.",2/3/2013,Briana J.,5,0,0,0,7,u_gOFgxyAmdJTp6_OJgpRg
"5 star) On a quiet night, this is a great place for a beer and a good bar meal.

(0 star) After 10pm on Friday and Saturday it turns into a nightclub filled with dirty, sweaty 40 year old men trying to have sex with you. Avoid at all costs.",1/24/2013,Sarah R.,3,2,1,1,20,fjrvyXzChCKKkkkt0kgjDA
"Great drinks that won't break the bank? Friendly staff? Occasional free beer and drink giveaway promotions? Sold and sold.

Play Madden / bar games on the big screens on special nights? Sold.

Fresh tacos outside to sober up? Sold.

Need I say more? Need a drink and a fun, simple night, come here.",1/23/2013,Chuck N.,5,2,0,2,691,WnzRueYdRWNSbkXB0_0i4Q
" like this place. This was our last stop for the night and fortunately we beat the late night rush.  We had a large group with us, so luckily we had a chance to grab some of the lounge space.

The music was pretty good and the dance floor was decent (sort of small in my opinion).  Drink prices were standard. In all a cool lil spot! I'll be visiting again.",1/8/2013,Derrick M.,3,1,0,0,38,l3eBDMJDwsPMWtjOoIto4g
"I went here a few days ago for Happy Hour and I like their $2 wells! I like it even better that the (cute) bartender wasn't skimpy on the alcohol! Too bad I couldn't fully enjoy it since I was going to drive later.

""The Works"" tater tots are AWESOME by the way. Add in all the things I love about nachos and the nostalgia of tater tots... booooom! Amazing-ness in your mouth.

Thanks SJ Bar and Grill! I will definitely want to come back for more!",12/11/2012,Diana T.,4,2,2,2,216,3ideE5jonMsCk9HsO2HT2g
"We showed up Saturday night  with just about 40 minutes to have a quick bite before seeing a show at the Improv, we were seated & got our drink order & dinner within minutes.  Tots were the best ever, brought us back to being a kid. Friendly staff, great food & awesome service, all within our time frame! =))  We will be back to eat, drink & dance in the near future! Kudos SJBG~",12/3/2012,Chele C.,5,0,0,0,2,GbligZ_U9wqSDpKsAh_YAg
"Chill spot to head for drinks, which they crank out pretty quickly. But not the best for a night out of dancing. The dance floor is pretty tiny so it gets pretty cramped in there. Beats are decent, but it can become a major dude fest. I recommend this as a place to grab a few drinks, and happy hour food prices don't hurt either.

TIP: If you're looking for a sweaty sausage fest, this is the spot! I KNOW you were looking for this. Haha",10/30/2012,Denise L.,3,14,15,15,328,trUFnQXasV8l2iJSzZKXrg
"Watched the first Giants NLCS game here and it wasn't crowded for a Saturday night. There's a huge projector that screens the game, which is awesome because you can both see and actually hear the game unlike some bars.

The food is decent for a sports bar, mostly fried finger foods and burgers. Portions are large and great for sharing, but flavor wise it just isn't there. Beers are decently priced but the servers are really hard to catch.

Big turn off: when I ordered a glass of water and it tasted like an AMF. Really??",10/15/2012,Donna M.,3,1,4,1,126,CF1flWDN-ir-ZhkF9IkoDQ
"Average all around, yet it's decent enough to get the job done when you just wanna kick back, chill, maybe catch a game or just chop it up with your friends. The ambiance is reflectively of the community and the crowd that comes here is loud and rowdy. True Baydestrians if you ask me, so if you are a Raider, A's fan, Charger fan or any fan other than those red, gold, teal, black, and orange folk, you will be the minority.

Their house beer which is supposed to be similar to Pabst is ok. Easy drinking beer that ends up being like water after your 2nd pint. But i must say, good job on those sliders and cajun fries, those caught me off guard. They were really tasty, juicy and just plain yummy. The fries were reminiscent of boiling crab cajun fries lol.

Bartenders are chill here, the dudes are cool and constantly had my beer refilled since i chose the all you can drink house draft for ufc 152 which i will say had NO COVER.

Overall ok in my book, it's next to everything like Loft, OG and Tres so if you aint feeling the vibe you can always jet next door or across the street", 9/24/2012 ,James D.,3,0,0,0,571,http://www.yelp.com/user_details?userid=oNlBwoY4wRePHlXkVA8s5A
"Good place to go in with small group of friends. Nice Foot-Taping Songs and drinks by the bar keeps one going all through the nite untill 2 :-) . Not a great place though , Still its one of the good places around SJ Downtown . Oh yeah , the Crowdz good always :-)", 9/18/2012 ,Anil V.,3,0,0,0,11,http://www.yelp.com/user_details?userid=dS43vlsiRHyHllNgwckjJg
"I'm not a big fan of this place mainly because its all house music. the DJ's suck and it seems like this is a good place to just kinda wind down the night.
Not my favorite place",9/16/2012,Patrick R.,2,2,1,1,11,http://www.yelp.com/user_details?userid=UCfu1-ADsxjyx8_PilJ_Kg
"I'm not a big fan of this place mainly because its all house music. the DJ's suck and it seems like this is a good place to just kinda wind down the night.
Not my favorite place",9/16/2012,Patrick R,3,2,1,1,113,http://www.yelp.com/user_details?userid=UCfu1-ADsxjyx8_PilJ_Kg
I liked the spot when i went its perty kool i guess but then kinda getto but hey its san jose just try to leave before the bars and clubs close and that would be 2 or 130 to many people wanna start fitting cuz they grow beer ballzz..drinks were to pricy as welll,8/23/2012,Yesi H.,3,0,0,0,23,http://www.yelp.com/user_details?userid=VwKZ43ysUZbwyTAH2voAKQ
Always have a great time here. Great food and drinks. The happy hour is fantastic too! Love that there are always a few games on during hockey season,8/13/2012,Danielle A.,4,0,0,0,21,http://www.yelp.com/user_details?userid=QkD8S-zZj4eoR7uwq_xSQA
"Looking for a happy hour spot in downtown san jose? SJBG will always come through.  This place is great for big groups and for catching sporting events.  The same owner owns Tres Gringos next door, but I prefer SJBG.  

Keep in mind, there's always something going on here doesn't matter what night it is, so expect loud music after 9pm.  Drinks are strong and bartenders/servers are always friendly.  The food is great if you enjoy sliders!  Lots of options on the menu, but SJBG is known for the sliders with tater tots.  

Also, tried a new concoction called the BeerGarita when i was there last.  If you're daring try it!  what's better than a bottle of corona served on top of your margarita.",7/30/2012,Sunny C.,4,1,1,1,106,http://www.yelp.com/user_details?userid=_raQ4C31W2wwagXAk4kjHA
Enough TVs to watch sports. Gets the job done,7/6/2012,Wesley P.,3,0,0,0,41,http://www.yelp.com/user_details?userid=lDOMApgjIhYBQTnQgd7ljw
"The reason why I gave it 4 stars is because of the staff - usually i would suggest its a mediocre place, but the staff was extremely helpful to a friend and i since we were out of towners, and also have us some coupons as well. The food (like the spring rolls were amazing) and the drinks were pretty okay, but i have to say the overall feel was just great. The bar does some really cool things like helping out leagues for the colleges to support their hobby sport teams and what not.",7/5/2012,Liana K.,4,0,1,1,10,http://www.yelp.com/user_details?userid=h1fdBgAgQaHoh0QUpTj3mg
"Their kitchen closes at 10pm.  Ordered a Corona in a bottle, paid for it.  What I got back was Corona on tap and was told that they don't serve bottles after 10pm.  Couldn't get my money back because I did not want a glass.  I wanted a bottle and the bartender thought it was a good idea to give me Corona from tap instead of checking up with me if it was okay.

The DJ could use a lot more lessons on mixing and fading in/out of song", 7/1/2012 ,Diana D.,1,3,2,1,125,http://www.yelp.com/user_details?userid=RQPiK7lAH-1eeCwD4TPqSg
"Kegs and Eggs! Graduation special: $2 PBR, $8 PBR Pitcher, Bottomless Mimosas. Yayuhh",6/4/2012,Jacqueline N.,4,0,0,0,243,http://www.yelp.com/user_details?userid=5YZ_GAtYVU6NXv7QiwNlwA
love this place! never tried the food or have been around during the day but love going here on saturday nights...we try to come in before 1030 to beat the crowd and the cover charge but we stay till close and are one of the many regular groups that come here...Bartenders are awesome some even remember your favorite drinks before you even order it...dance floor gets crowded but wouldnt have it any other way. Security is cool and usually dont get on us too often as long as you do what they ask and stay out of there way there good people! even the damn bathroom attendant is awesome creepy but awesome! Love this Place!,5/30/2012,Yeah B.,5,0,0,0,1,
"I like my bars simple, and this is pretty simple. Quick turn around on drinks. Willing to provide lots of water. No need to get done up here, just a great place to enjoy a casual drink in a place that's rowdy enough to get your energy going, without feeling like you need to rage.

Though raging is also an option here, definitely.

Not a big place for dancing, but if you don't care and will dance anywhere (like me) this place is perfectly fine for it.",5/17/2012,Jason S.,3,1,1,0,552,
"On Tuesdays, the drinks are really cheap for students! $2 Kamikazes and other well drinks, $2 PBR on tap, and a few other deals that make for a great night.

They have great, friendly bartenders and pretty good music from an in-house DJ.",4/26/2012,Michael K.,4,0,0,0,384,
"I've been here both during the day and night so I have a feel for both aspects.

The bartenders are all really nice here day and night. They take care of me and are very attentive to my needs.

If you are planning on eating here I would definitely recommend their hot and chili wings. They are soooooooo yummy !!

Music here tends to be more on the hip hop side which I love but the bartender informed me that they have been getting a dj lately who plays a lot of house music. YUCK. not a fan but hey if that's your soon go for it.

Overall I give this place a four based on their lack of good food. I've tried several things on the menu and nothing was that greta besides the wings. Other then that it's a nice little spot downtown to come relax and have a drink.",4/21/2012,Crystal C.,4,0,0,0,4,
"This place deserves 2 stars, but because they have a dance floor, +1 star.

It's not as bad as Tres Gringos, and I'd rather stay here than go next door, but loft would definitely be my #1 pick, even  though the guys at loft close in on us like a hungry pack of wolves.

The food is not bad, and the servers are decently polite here.",4/12/2012,Michelle W.,3,0,0,0,274,
"Found this place online while trying to find a spot to hit before a Sharks game. I was in town (Red Wings fan) for the game on St. Patrick's Day.

The service was absolutely horrible... Before you just to conclusions and assume that I'm being picky because of the holiday, this was at 5:30 and the bar was only a quarter full when we arrived.

We sat down at a table and the bartender (a female with brown hair) looked at us and just kept serving drinks to people at the bar and then seemed put out to help us. After waiting for nearly 10 minutes, I walked up to the bar and was finally served a drink.

Beer special of the day: $12 pitcher of PBR... Absolutely ridiculous! The shots were even more.

Only pro of the whole place was the food. I had the Corned Beef Reuben and my girlfriend had the Club Panini. Both were served very warm and tasted extremely fresh.

After all was said and done (still had to keep walking up to the bar for drinks, while other bartenders served other tables around us.)",4/2/2012,Zachary C.,2,0,0,0,6,
"We didn't order any food, but the drinks and service were great. We sat at the bar, and the bartenders were all very attentive and nice!
We had some Irish Car Bombs- excellent. Perfect amount of everything. They were $7 each, which I suppose is a pretty average price.
We also tried their St. Patrick's Day drink specials- a Lucky Charms ($5) and Shamrock shot ($3). The Shamrock was bomb. The bartender misheard us when we ordered that one and accidentally made an extra. So, he took it off the bill and did that extra shot with us. Loved it, he was fun.
Plenty of seating. Huge screens and lot of TVs. There was music playing and the Sharks were on. We had a lot of fun, I'm sure we'll be back!",3/18/2012,Sarah L.,4,0,0,0,86,
"This place thinks they're a Vegas club sometimes...not cool charging girls cover then charging 12 bucks for the weakest drinks ever. However, everytime there's a Sharks game it becomes a decent spot to be at and when Conrad is spinning hella electro it gets crackin. Average at best and always a sausage fest in t",2/26/2012,Cristal C.,3,0,0,0,350,
I love the high-energy of this place! The music blasts through the roof while you sit down and enjoy your drink made by the bartenders that help drive the excitable atmosphere. The dance corner is filled with music drunk patrons who are all about enjoying themselves. Great place to go to if you're into the crowded bar atmosphere,2/18/2012,Jae S.,4,0,0,0,36,
"I've been coming here for a few years now and I'd say this place has its pros and cons..

It draws a big diverse crowd which is a plus......the food is alright.. nothing amazing about it...

I still don't understand the whole concept of them charging cover like its some kind of a super nice spot or a lounge......

Great to come with a group of friends to have a kick back afternoon or night when gettin off work ....ON A WEEK NIGHT

Line on the weekend=RIDICULOUS...it gets crowded

These last few years the hood rats have discovered this place, as well as the creepers who randomly dance up on you without permission...BUTTTT you get that everywhere I guess...

3 stars!!!",1/27/2012,Rachel H.,3,1,3,1,48,
Kind of small inside but overall the people there made it interesting IMO.  I saw alot of people getting shuffle battle ready on a Sunday and trust me...that's a GOOD thing! lol Drinks are fairly priced and the decor is maso-menos...I would come back again just for the hell of it but I would suggest it to anyone who wants to have a quick stop and drink spot before their night begins...,1/19/2012,Tim C.,3,0,0,0,179,
"HURRAY the perfect proportion of sj ghetto and nonz

and #1 bartender! benny!

poppin music. chill atmosphere.

really does feel like sj",1/6/2012,Khanh T.,5,1,1,1,158,
"I hate pretty much all of the bars in downtown, but San Jose Bar & Grill takes the cake as the worst of the worst.

It blows my mind that they charge cover here. What drugs is the management on? Do they think they are in Vegas or that their bar doesn't totally suck balls? Once you get inside it only gets worse. The DJ has an affinity to play his ""Songs That Make You Want to Commit Suicide Mix"" and he always makes sure to turn the music way way up. The drinks are pathetically weak, even the Long Islands taste like water.

Avoid this place like the plague.",12/21/2011,Tom L.,1,10,12,9,452,
"Absolutely love this place, ever since Mountain Charlie's closed I've been coming here. Great music, drinks are reasonable and I mainly come here for the dancing. Dancing area can get tight at times but their is a small stage : ) not to mention it's pretty much right in the middle of downtown.",12/8/2011,Lisa T.,4,0,0,0,10,
"This place is very average. As far as the nightlife goes. It has never been too crowded when I came here, but I still had a good time.  It mostly depends on the company.  The bartenders are friendly and the drinks are decent.  The layout of the bar is a bit weird and if you stand anywhere near the walkway the security guys will rudely tell you to get out of the way. Besides that, here is usually a taco cart outside the door to fulfill late night cravings.",12/6/2011,Kylie S.,3,0,0,0,40,
"Not the greatest place, but much better than your regular Dive bar environment. Their TVs are really great quality. The music they play is . . . ok. It's not what I like to listen to, that's all. I've had both good and bad bartenders there. Clientele isn't as bad as a few other spots just a block away. It's a pretty casual place. The Happy Hour is great and they always have some sort of cocktails special on Wednesdays. Prices are good. Overall, a good spot.",12/5/2011,Alariza N.,3,1,0,0,25,
"Ended the night here recently on our bachelorette party night and its always a hit. I have been coming here for years and this place just does not disappoint for me ever. The crowd is always mixed, the music is always on point and its just a great place to just hang out at. No need to worry about being overly dressed, just  a good place to get a drink and enjoy the vibe.",11/5/2011,Jennifer A.,4,1,0,1,458,
"When I was younger, I loved this place and as I have gotten older it's not really my scene plus the crowd has kind of gotten a little too ghetto for me on a friday/saturday night.  During the early evening it's a good place to sit down, drink and watch whatever sports is playing on their huge TV's.  But at night it get's kind of crowded and not in a good way, probably because it is in SJ, there are men that just line up on the side of the wall as  you try to safely make it to the bathroom without someone grabbing you at some point.  The one solide thing with this bar are the bartenders, I think that is what always gets me to go back, I always love to say hi because they make good strong drinks and give good service!",11/3/2011,Rebecca D.,3,1,0,0,184,
"Are all Vietnamese girls from San Jose really this uptight? It doesn't hurt to let loose once in a while and enjoy yourselves instead of trying to maintain a ""I'm too good for anyone"" persona but, who knows? I've only lived here in SJ for 2 months so maybe I'm wrong. Anyway, it was my first time there last night (Thursday). I went for a friends birthday and we elected to have the 2 for 1 bottle service. At about 10:00pm, they move all the bar tables and high chairs from one end of the bar and carry out leopard print couches, transforming one end into a haphazardly made lounge. On the other end, they clear everything to make a small dance floor. The DJ's music selection was good, but the speakers were waayyy too loud so your conversations consist of yelling at each other. It wasn't too uncomfortably packed. The drinks are priced averagely. There's a food menu and a taco stand right out front. Our waitress was really on point and continually checked on us. The patio area's small, especially for the amount of people that were there. All the smokers looked like a can of packed Sardines out there lol! All in all, I give this place 3 stars because there's nothing special about this place that makes it stand out from other bar/grill/lounges.",10/28/2011,Tim S.,3,2,2,1,39,
Okay place. Sucks at night! Over crowded with pervs. But awesome during the day. Some of the sharks drink there and watch games. The empoyees are nice too. BUT ITS $20 FOR A PITCHER OF GOOD BEER. Ehhh I'll be back if I'm bored but I'm not a fan.,9/26/2011,Tinka G.,3,1,0,0,59,
"This is a fun and friendly place.  It has a very good selection of beers on draft and lots of TVs around the bar for watching various sporting events.  It however, is not completely typical of 'sports bars' I've been to.  The crowd is more varied and lively than usual for a sports bar.  It is a nice place to hang out with friends.   The menu is limited, consisting mostly of appetizers, burgers, salads and paninis.  The burgers are good.  The wings are outstanding;  two to three times as large and meaty as the typical wings/drummies.  They come out hot and crispy and are available in several flavors.  To their detriment, they don't have a typical 'buffalo-type' sauce, and their 'hot' variety lack any particular flavor besides being just hot and vinegary.  The sweet chili in combination with the hot however?  Outstanding!    They also have tater tots!  They say that they are as good as Mom used to make, but they are better, because Mom didn't deep fry them.  The tots are however a little too salty, which is saying something because I love salty food.  All in all, this is a pretty nice place to hang out and watch a ball game or to be out with friends.

The only real criticism I have about the place is that the first time we were here, we ordered wings by themselves, and then about 15 minutes later, ordered burgers.  The wings did not come out until after the burgers, which was not good.  The next time, we waited until the wings came out before ordering the burgers.  But generally speaking when you order appetizers, you should get them first, and the fact that you don't would suggest a somewhat mis-managed kitchen. It would also be nice if they served the wings with celery AND carrots.  So they get a 3 rather than a 4.   Also, note, they don't validate parking, so figure on adding 5-6 bucks to your bill for that, although they are very convenient for transit!",9/10/2011,Vernon M.,3,0,0,0,31,
"Service was good and the food was alright. Nothing I would rant about to my friends, but it wasn't horrible either.",9/10/2011,Nicole D.,3,0,0,0,52,
it was like heaven......,9/6/2011,Raj K.,4,0,1,1,1,
"I'm going to give this two stars for now. My good friend and local SJ Yelper, Sam, brought us here for drinks the other night. In all fairness, it was a Thursday... so maybe it was an off night for them.

Anyway, my main complaint was that the drink service was awful. I got a pint of Blue Moon for a friend and myself, and it was terrible! The beer was flat, lukewarm, and strangely acidic tasting. It tasted like someone opened a bottle of beer, left it in an enclosed hot car and then let it settle to room temperature before slapping a slice of orange in it.

Other than the drink, the DJ was kind of awkward. He couldn't seem to find a song that people could actually dance to.

I may go back on a night when there are more people and the music is a little better. I can always grab a drink somewhere else beforehan",9/4/2011,Teresa G.,2,0,0,0,138,
"I used to go here a lot. The drinks are ok. The music is nothing special, but it keep you dancing. Usually, the staff is nice.  I know they have to deal with a bunch of drunk people so I don't expect too much.  But I expect a certain degree of professionalism whenever some one is being paid to help me.

Anyways, the other day I went here with a big group of friends. One of the girls in our group just turned 21 and we decided to grab a quick drink here.  Two of my friends went in before the birthday girl. When she goes up they tell her they can't let her in because it hasn't been 24 hours since her birthday had passed.

Ok ok, we understand. We prepare to leave peacefully. So we step aside and try to call and text our friends on the inside.  I ask the bouncer if I can grab them because I can see them from the door. He say ok, I grab them.  When I get back I ask if we can get a refund for them because they were inside for less than 5 minutes.  They didn't drink, they didn't dance.  He says no because he'd need to ask his manager.  So we ask to speak to a manager and he replies ""He won't stop what he's doing to talk to you"".  He says this without asking any of the other bouncers and without getting on his little walkie talkie to even ask if his manager was around.

Dear SJBG Manager, I don't know how you treat your customers.  But this is how your bouncers treat people.  I understand they hate their jobs.  I understand they deal with drunk/stupid/mean people all night. I don't understand why I was treated this way especially when I didn't resort to acting like a pushy idiot.expect too much.  But I expect a certain degree of professionalism whenever some one is being paid to help me.",9/1/2011,Leandra A,1,3,1,1,11,
"SJBG has been the back up bar to go to for my friends and I. Whenever we have the itch to have a casual night out and don't exactly know where to go, this is the place. I've been here on many different nights for many different occasions. SJBG has a love/hate relationship...

Pros
-cheap drinks
-friendly bartenders
-generally a clean enviroment even on some packed nights
-when going on any other day besides thurs/fr/sat, it's super chill
-different events on different days of the week to please anyone/everyone

Cons
-this bar tends to attract a big majority of douche bags! (good thing I don't come here for the lame guys)
-on busy nights, it's super crazy packed. This isn't a club folks!
-drinks are harder to come by on said busy night

Like I said, this is the back up bar.",8/31/2011,Michelle H.,3,1,1,1,45,
A cover for a ghetto place? No thanks! Were not at some fancy bar and where the wrong crowd mingles and you expect me to pay? No thanks. I'm not being cheap it's just principle and you're not a club so there should be no charge. That beer money in my mind!!! do not recommend.,8/21/2011,Crystal V.,1,5,1,1,620,
This place isn't too bad except if it's one of those night where you are squished because there are hippos everywhere! I am not the skinniest girl in the world but I felt super skinny here! lol. Nice nice staff! Good place to watch the games. I live across the street so it's super convenient.,7/30/2011,Lauren Ashley G.,4,1,3,2,162,
"Me and my buddy walk in at 11pm on a Saturday night.  The server immediately said to us ""we're not going to serve you."" so we make an about face and walk out.

Then it hits us, a Dave Chapelle moment ""That was racist.""

WTH just happened?  Don't know, don't care, on to the next spot.",7/29/2011,Paul Y.,1,4,2,1,103,
"Great music , good drinks great hospitality, what else do you want. It a fun bar and friendly people.",7/25/2011,Nathan O.,4,0,0,0,10,
"Who would've thought, that I'd be seeking refuge in a bar from the cat-calls and eye-stripping I was being subjected to just walking around downtown San Jose?  Not me, but that's just what happened last Saturday afternoon.

SJ B&G was the perfect refuge.  Picture:

Luxurious and worn velvet couches with leopard trim served as the perfect back-drop for me to curl up with a  well-made dirty martini.
The A's game on a big screen as the afternoon sun and breeze wafted in through the open front patio.
FOOSBALL in the back.
Oh sure, throw in some chicken lettuce cups (just ok) and some sliders (yum!) to round it out.

In no time at all I felt the creepy harassment vibe shed away, to be replaced by mellow, friendly happy hour vibe.  (I left before the night-life crew, and I'm pretty sure that would've brought on the gropey vibe - I mean, it is still a bar folks.)",7/11/2011,Ravena F,3,6,5,6,498,
"Me and 7 friends happened to stop here before a concert this Saturday.  The place was actually dead but we still got great service.  

down sides:  
-when it's hot outside, it's hot as hell inside.  Not good, if any, air condition.  However the waitress pointed the fan in our direction.

perks:
-Their slider menu is awesome!!  I had the nor cal sliders (sliders come in 3s) which included bacon, avocado, cheese and some sort of aioli.  Super delicious!! Their fries also had just the right amount of salt and were crispy!  The sliders were about $10-!11/plate and were definitely good portions.  

I would definitely come back!",7/5/2011,Brittany E.,4,1,1,1,148,
"I la-la-la-laaaav this place!  My friend and I went out for Tipsy Tuesday at Jack's Bar and Lounge which was aiite...not really crackin...so we meandered off to downtown where we found this little place.  Admittedly, it was pretty dead too but I attribute that to the fact that it was still hella raining and no one is hardcore parkour like me and my Tipsy Tuesday crew *badump chaaaa*.

The first thing we noticed was that there was a BEER PONG TABLE set up!  Nice!  Nice!  If I wasn't so self-conscious about my earth-shaking BP skillz I woulda played.  The bartender was by far one of my faves.  Her name is Sam and she has a septum.  Just in case you wanted some awesome service.  She helped us out with some really strong margaritas followed with a nice $8 pitcher of PBR (she even poured the first cup so it wouldn't be foamy!).  She even gave me tips on where there were good places to get pierced!  And THENN she made this awesome suggestion of getting the STONER TOTS.  Sweet lord in heaven.  Tater tots with cheese and bacon?!  I could eat that for dayzzzzzzzz!

Thanks Sam for making Tipsy Tuesday amazingxorzzzzzzzzzzzzz",7/5/2011,Matt V.,5,1,1,0,111,
"I guess you could say I frequent this joint.  Great for Sharks games and other sporting events.  Sundays are my favorite.  Sunday Funday features bar games, bottomless mimosas, cheap drink specials, and my boy Jimmy on the BBQ.  The music is usually an eclectic mix with some Classics, Irish punk, 80s, and 90s Rap/Hip Hop.  What makes this place great is the staff.  Get to know your bartender and they take great care of you.  Everyone is really friendly and you don't have to wait for drinks!  I hate bars that have 1 or 2 bartenders for 50 people.  SJBG usually has plenty of bartenders and it really reminds me of Cheers in here.  The regulars here are all really cool too.  They frequently have live music, open mics, parties, and other events.  If you want a laid back, good vibe kind of bar, stop in to SJBG on weeknights and Sundays.  It will be worth your while.",6/28/2011,Brandon H.,5,1,0,0,15,
